2010,P/E,Sales Surprise Pct,P/B,D/E,ROE,FCF,PEG,Market cap,EBITDA,beta,Price 2010,Price 2020
CHRW,34.4160003662,-0.050999999,11.0675001144,0,34.0800018311,327.0599975586,1.8947999477,13325.9736328125,652.2199707031,0.7983000278,80.1900024414,93.8700027466
CTRX,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,0.817900002,21.4300003052,#LinkError
CELG,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,0.6291999817,29.5699996948,#LinkError
CERN,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,0.994599998,23.6849994659,#LinkError
CHKP,19.9400005341,4.2979998589,3.5320000648,0,19.3540000916,683.666015625,1.6750999689,9604.546875,647.4299926758,0.6324999928,46.2599983215,132.9100036621
CSCO,13.7620000839,-0.1080000028,2.5278999805,27.3274002075,19.4829998016,9178,1.1815999746,112983.125,12128.0498046875,1.25849998,20.2299995422,44.75
CTXS,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,1.051699996,68.4100036621,#LinkError
CTSH,30.9239997864,2.5260000229,6.2052001953,0,22.783000946,579.1400146484,1.5420999527,22242.197265625,972.0150146484,1.0990999937,36.6450004578,81.9499969482
CMCSA,16.8999996185,1.7350000143,1.3727999926,70.7004013062,8.3815002441,6218,1.2374999523,60999.703125,14595,1.0117000341,10.9849996567,52.4000015259
CEG,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
COST,23.5979995728,2.7909998894,2.6666998863,18.5102996826,12.2849998474,1711,1.6119999886,31218.837890625,2953.1938476563,0.7365000248,72.2099990845,376.7799987793
DELL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,73.2900009155
XRAY,17.9839992523,-0.5699999928,2.5422999859,31.6252994537,15.0030002594,321.6499938965,1.4210000038,4855.5229492188,456.1059875488,1.0289000273,34.1699981689,52.3600006104
DTV,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,0.8269000053,39.9300003052,#LinkError
DISCK,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,0.6115000248,18.3449993134,#LinkError
DLTR,18.9029998779,3.2209999561,5.0416002274,18.8712997437,28.0049991608,335.5,1.0499999523,7119.8051757813,764.9780273438,0.4638000131,28.0400009155,108.0400009155
EBAY,18.5529994965,0.4449999928,2.3710999489,11.7252998352,13.5819997787,2021.8480224609,1.8647999763,36283.08203125,3006.1982421875,1.5276999474,27.8299999237,50.25
EQIX,61.561000824,0.7699999809,1.9874999523,46.7051010132,3.095400095,-201.3800048828,1.7948999405,3737.4719238281,497.0899963379,1.5680999756,81.2600021362,714.1799926758
EXPD,34.3400001526,-6.6919999123,6.6325001717,0,20.4009990692,353.4700012207,1.9013999701,11594.6376953125,585.4860229492,0.7817000151,54.5999984741,95.1100006104
EXPE,16.3990001678,0.6309999824,2.5401000977,45.646900177,16.4580001831,622.2938842773,0.9110000134,6951.3862304688,854.1290283203,2.1087999344,50.1800003052,132.3999938965
ESRX,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,0.8758000135,54.0499992371,#LinkError
FFIV,59.4339981079,-0.1570000052,9.7882995605,0,18.2689990997,328.2909851074,1.8420000076,10523.4365234375,290.1849975586,1.288599968,130.1600036621,175.9400024414
FAST,33.283000946,1.5839999914,6.8870000839,0,22.3449993134,171.3500061035,1.4086999893,8832.591796875,470.4320068359,0.981400013,14.9774999619,48.8300018311
FISV,14.4589996338,-0.7689999938,2.6970999241,103.9330978394,19.3449993134,783,1.0755000114,8709.0439453125,1468,1.048699975,14.6400003433,113.8600006104
FOSL,18.5960006714,7.6950001717,4.359000206,0.9340000153,24.531999588,163.0800018311,1.0437999964,4584.3720703125,407.2690124512,1.5504000187,70.4800033569,8.6700000763
FOXA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,29.1200008392
GRMN,11.392999649,-2.6119999886,1.9656000137,0,19.327999115,738.5399780273,1.3767999411,5994.365234375,683.3880004883,1.4175000191,30.9899997711,119.6600036621
GILD,10.3249998093,0.9409999847,4.8060998917,46.8156013489,46.813999176,2772.0302734375,0.6589999795,29422.169921875,4404.6049804688,0.4217999876,18.1200008392,58.2599983215
HSIC,17.1000003815,2.6659998894,2.3475999832,16.5683994293,14.4619998932,349.8699951172,1.0407999754,5664.6401367188,618.4091186523,0.6431000233,30.6949996948,66.8600006104
INTC,10.2589998245,0.7900000215,2.3731999397,4.2788000107,25.1189994812,11485,1.1802999973,117305.34375,20358,1.0887000561,21.0300006866,49.8199996948
INTU,27.6970005035,2.1610000134,5.9864001274,38.1643981934,21.8910007477,778,1.4989999533,15654.525390625,1151.3640136719,0.739199996,49.2999992371,379.8500061035
ISRG,27.218000412,4.5489997864,4.9709000587,0,19.7310009003,432,0.9677000046,10127.771484375,595.5999755859,1.5676000118,28.6389007568,272.700012207
KLAC,12.0749998093,6.1979999542,2.6175000668,30.2493000031,23.6030006409,480.0400085449,1.4608999491,6455.3530273438,881.9470214844,1.7766000032,38.6399993896,258.9100036621
LBTYA,#N/A,0.996999979,2.4811000824,649.6400146484,-35.3460006714,489.1000061035,#N/A,8578.765625,3602.1840820313,1.4578000307,35.3800010681,24.2199993134
LSXMA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,43.1899986267
LIFE,#N/A,#N/A,#N/A,0.6930000186,#N/A,614.2700195313,#N/A,#N/A,#N/A,#LinkError,#LinkError,3.8800001144
LLTC,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,1.0214999914,34.5900001526,#LinkError
MAT,13.5989999771,2.4430000782,3.4714999199,45.6520004272,25.8740005493,393.8599853516,1.8568999767,9125.021484375,1067.7340087891,0.9886999726,25.4300003052,17.4500007629
MXIM,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,1.1218999624,23.6200008392,#LinkError
META,#N/A,#N/A,#N/A,11.5634002686,#N/A,0,#N/A,#N/A,1057,#N/A,#N/A,273.1600036621
MCHP,17.2779998779,1.6579999924,3.8736000061,0,23.8899993896,418.8500061035,1.1224000454,6391.2490234375,553.4099731445,1.0875999928,17.1049995422,69.0550003052
MU,5.6879000664,-5.5260000229,0.7994999886,18.1709003448,15.3489999771,2580,1.74150002,7989.8940429688,3299.0400390625,1.0411000252,8.0200004578,75.1800003052
MSFT,11.876999855,4.3499999046,4.9253001213,19.9479999542,43.9230003357,23156,0.9271000028,238784.515625,29153,1.0710999966,27.9099998474,222.4199981689
MDLZ,15.5989999771,3.1649999619,1.5313999653,77.8309020996,9.972700119,2087,1.6957999468,55040.72265625,8070.9697265625,0.5784999728,31.5100002289,58.4700012207
MNST,22.8299999237,#N/A,5.5900998116,0.0326000005,29.1970005035,216.6100006104,#N/A,4630.8061523438,359.5650024414,0.5640000105,8.7132997513,92.4800033569
VTRS,13.1239995956,-2.1319999695,2.5436000824,160.5207061768,21.2530002594,743.5601196289,0.7297999859,9196.1767578125,1506.1329345703,0.711499989,21.1299991608,18.7399997711
NTAP,36.158000946,1.371999979,6.1187000275,0,20.6930007935,1039.8609619141,1.7687000036,19625.171875,892.6699829102,1.4515000582,54.9599990845,66.2399978638
GEN,12.876999855,1.3949999809,2.8615999222,56.3973007202,22.9470005035,1554,1.2834999561,12994.4921875,2086,0.8784000278,16.7399997711,20.7800006866
NUAN,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,1.5865000486,18.1800003052,#LinkError
NVDA,24.0620002747,0.0189999994,3.0504000187,0,13.3629999161,211.2400054932,1.4373999834,8839.599609375,559.8010253906,1.655099988,3.8499999046,130.5500030518
NXPI,16.1000003815,-11.1289997101,4.2796001434,373.3388061523,7.6024999619,132,#N/A,5216.8442382813,1413.9000244141,-0.4196000099,20.9300003052,159.0099945068
ORLY,19.7450008392,1.4409999847,2.6285998821,11.1756000519,14.4180002213,340.3900146484,1.049399972,8436.8681640625,907.3829956055,0.4611000121,60.4199981689,452.5700073242
ORCL,17.2929992676,2.9900000095,4.5149998665,42.4103012085,29.0620002747,8684,1.007799983,157348.53125,15005,1.1140999794,31.2999992371,64.6900024414
PCAR,46.2420005798,2.2839999199,3.9031000137,98.4732971191,8.7550001144,1783.3000488281,1.8492000103,20911.955078125,1542.5,1.351099968,57.3400001526,86.2799987793
PAYX,22.2369995117,0.27700001,7.7125000954,0,35.4700012207,568.6799926758,1.9213000536,11179.2509765625,879.1519775391,0.8414999843,30.9099998474,93.1800003052
PRGO,18.6809997559,1.1970000267,4.4656000137,68.1148986816,27.1130008698,92.1800003052,1.1348999739,5841.1801757813,488.2749938965,0.7949000001,63.3300018311,44.7200012207
QCOM,21.9960002899,4.7059998512,3.5213000774,4.7898001671,17.6669998169,2445,1.1009999514,80060.46875,4588,0.96450001,49.4900016785,152.3399963379
QRTEA,10.9510002136,#N/A,0.7839999795,56.4849014282,14.4440002441,998,1.4919999838,8970.5908203125,1717.0250244141,2.5257000923,15.7700004578,10.970000267
GOLD,16.2129993439,8.4169998169,2.4714000225,31.2861995697,17.2600002289,865,0.5141000152,52435.48046875,6038,0.4289999902,53.1800003052,22.7800006866
REGN,#N/A,11.6579999924,5.1187000275,0,-25.5839996338,-3.3399999142,#N/A,2701.6789550781,-77.7880020142,1.2287000418,32.8300018311,483.1099853516
ROST,14.3420000076,0.8579999804,5.9291000366,11.6731004715,43.4930000305,547.299987793,0.9472000003,7618.9047851563,1038.4439697266,0.7214999795,15.8125,122.8099975586
SNDK,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,1.7696000338,49.8600006104,#LinkError
SBAC,#N/A,1.8259999752,14.7995996475,891.6306762695,-31.8199996948,134.5899963379,#N/A,4693.1162109375,425.2860107422,0.9082999825,40.9399986267,282.1300048828
STX,6.2107000351,-0.2419999987,2.5531001091,105.367401123,43.9710006714,667,0.7775999904,7087.4711914063,2156,1.976099968,15.029999733,62.1599998474
SGEN,#N/A,-28.4239997864,9.3845996857,0,-33.46900177,3.2899999619,#N/A,1515.7060546875,-61.1949996948,1.1981999874,14.9499998093,175.1399993896
SHLDQ,43.638999939,-2.2760000229,0.9745000005,48.1856994629,2.3106999397,11,#N/A,8164.125,1415.3540039063,1.6665999889,73.75,0.2275000066
SIAL,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,0.8815000057,66.5599975586,#LinkError
SIRI,32.6020011902,-1.0750000477,30.8232002258,1549.6242675781,107.3229980469,201.0269927979,2.4149999619,6399.6088867188,910.3540039063,1.929700017,1.6301000118,6.3699998856
SPLS,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,0.8565000296,22.7700004578,#LinkError
SBUX,22.9500007629,0.6129999757,5.8645000458,13.5310001373,28.8649997711,1139.8999023438,1.295699954,23811.544921875,2124.5,1.2644000053,16.0650005341,106.9800033569
SRCL,31.9839992523,8.3739995956,6.4064002037,102.1069030762,21.7999992371,277.3500061035,1.7611000538,6921.16796875,433.6489868164,0.2561999857,80.9199981689,69.3300018311
TXN,13.0520000458,0.5389999747,3.6561999321,0,30.6730003357,2621,1.3028999567,38160.19921875,5263.2001953125,1.0622999668,32.5,164.1300048828
ULTA,33.3330001831,2.5099999905,5.7369999886,0,19.1009998322,34.9099998474,1.1225999594,2005.251953125,167.2310028076,1.6526999474,34,287.1600036621
UAL,6.0152001381,0.9499999881,4.516600132,801.6791992188,#N/A,1584,1.5770000219,7800.240234375,2745,1.0698000193,23.8199996948,43.25
VRSK,24.1700000763,-0.1030000001,-43.0668983459,-733.5908203125,544.0659790039,297.3900146484,1.4083000422,4928.58203125,529.003112793,0.2137999982,34.0800018311,207.5899963379
VRTX,#N/A,#N/A,14.1234998703,27.1819992065,-95.2119979858,-673.4899902344,#N/A,7117.8862304688,-618.4010009766,0.5705999732,35.0299987793,236.3399963379
PARA,17.1620006561,1.4700000286,1.3207000494,61.0965995789,8.2402000427,1450.8000488281,1.8950999975,12971.01171875,2424.1000976563,2.1982998848,19.0499992371,37.2599983215
VIAB,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,1.2539999485,39.6100006104,#LinkError
VMED,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,1.6962000132,27.2399997711,#LinkError
VOD,#N/A,#N/A,0.9595999718,#N/A,#N/A,#N/A,1.4501999617,139186.375,#N/A,#LinkError,#LinkError,16.4799995422
WDC,7.1367998123,5.4010000229,1.5099999905,6.7842998505,23.1959991455,1034,1.2857999802,7790.2202148438,1775,1.3630000353,33.9000015259,55.3899993896
WFM,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,1.075799942,25.2950000763,#LinkError
XLNX,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,0.9307000041,28.9799995422,#LinkError
VZ,15.9729995728,-0.2370000035,1.1636999846,60.7442016602,7.3724999428,16905,3.617399931,101142.1796875,27111.80078125,0.6858999729,35.7799987793,58.75
NVDA,24.0620002747,0.0189999994,3.0504000187,0,13.3629999161,211.2400054932,1.4373999834,8839.599609375,559.8010253906,1.655099988,3.8499999046,130.5500030518
AMD,16.3600006104,0.8389999866,5.505300045,216.3869934082,45.3540000916,-559,3.2808001041,5576.8217773438,642,2.1928999424,8.1800003052,91.7099990845
