2010,P/E,Sales Surprise Pct,P/B,D/E,ROE,FCF,PEG,Market cap,EBITDA,beta,Price 2010,Price 2020
TiCKER,,,,,,,,,,,,
ATVI,18.5669994354,-39.1660003662,1.4704999924,0,8.3233995438,1279,1.1722999811,15003.01171875,1456,0.679799974,12.4399995804,92.8499984741
ADBE,19.6049995422,2.0050001144,3.015599966,29.151599884,15.9639997482,975.5040283203,1.3867000341,15658.30859375,1334.3729248047,1.600200057,30.7800006866,500.1199951172
ADP,19.3640003204,2.9700000286,3.9521000385,0.6076999903,20.8770008087,1540.3000488281,1.6598000526,22825.8515625,2128.1999511719,0.6536999941,46.2799987793,176.1999969482
AKAM,46.5839996338,0.5879999995,3.9396998882,0,9.701499939,210.5859985352,2.3901998997,8579.1904296875,419.9939880371,0.7005000114,47.0499992371,104.9899978638
AZN,7.8288002014,3.4700000286,2.7801001072,38.859500885,38.4659996033,9972,-2.8805999756,65082.86328125,14700.7001953125,#LinkError,#LinkError,49.9900016785
ASRA,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError
GOOGL,22.5669994354,5.1770000458,4.1075000763,0,20.1989994049,7063,1.086400032,189936.75,11777,1.2005000114,14.8492002487,87.6320037842
GOOG,#N/A,#N/A,#N/A,0,#N/A,7063,#N/A,#N/A,#N/A,#N/A,#N/A,87.59400177
ALTR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,58.1800003052
AMZN,71.1460037231,-0.200000003,11.7701997757,22.7418003082,18.6450004578,2516,1.824000001,80790.6640625,1982,1.162899971,9,162.846496582
AMGN,10.7019996643,0.9900000095,2.1663000584,55.8051986694,21.1730003357,5207,0.9211999774,51870.34375,6885.5498046875,0.4514000118,54.9000015259,229.9199981689
ADI,15.9619998932,1.8789999485,3.5093998909,12.5207996368,24.327999115,879.6201171875,1.4124000072,11229.01171875,1032.7990722656,1.0643999577,37.6699981689,147.7299957275
AAPL,18.0100002289,10.1140003204,5.4126000404,0,35.9930000305,19744,0.9973999858,295886.59375,22661,1.3769999743,11.5200004578,132.6900024414
AMAT,15.9659996033,11.2740001678,2.4909000397,2.7235999107,16.1259994507,1553.7700195313,0.8300999999,18771.78515625,1931.0539550781,1.0153000355,14.0500001907,86.3000030518
ADSK,38.9799995422,0.9520000219,5.5795001984,0,15.1260004044,463.6000061035,2.0971000195,8682.2109375,391.5249938965,2.1094999313,38.2000007629,305.3399963379
AVGO,13.4020004272,0.0680000037,4.5190000534,15.2824001312,40.7410011292,433,0.9393000007,6800.9858398438,734,0.8917999864,28.4130001068,437.8500061035
BIDU,64.2679977417,7.1040000916,27.0412006378,1.0225000381,52.8989982605,576.5399780273,0.6827999949,33639.7421875,666.5130004883,#LinkError,#LinkError,216.2400054932
BBBY,17.4290008545,4.1079998016,3.3524000645,0,19.545999527,774.1199951172,1.0636999607,12735.3056640625,1380.5599365234,1.2188999653,49.1500015259,17.7600002289
BIIB,13.2510004044,4.2870001793,2.9321000576,19.5685997009,23.6739997864,1451.6199951172,1.1276999712,15978.150390625,1987.6379394531,0.6942999959,67.0500030518,244.8600006104
BMC,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,0.7218999863,47.1399993896,#LinkError
BKNG,32.4840011597,0.3700000048,10.8177995682,0.0097000003,40.608001709,754.7039794922,1.0135999918,19616.306640625,957.0161132813,1.0508999825,399.549987793,2227.2700195313
BRCM,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,1.3940999508,43.5499992371,#LinkError
