2012,P/E,Sales Surprise Pct,P/B,D/E,ROE,FCF,PEG,Market cap,EBITDA,beta,Price 2012,Price 2022
SIRI,36.125,-0.8730000257,3.7253000736,60.284198761,16.716999054,709.4719848633,1.4794000387,15048.6640625,-1791.3868408203,2.1501998901,2.8900001049,#LinkError
SPLS,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,0.9480999708,11.3999996185,#LinkError
SBUX,28.8330001831,-0.9049999714,7.706099987,10.620300293,27.5620002747,1411.6000976563,1.3349000216,39879.265625,2665.1000976563,1.2058999538,26.8150005341,#LinkError
SRCL,28.1809997559,2.6129999161,5.1445999146,87.077796936,19.9190006256,322.2099914551,1.564800024,8011.8188476563,562.3640136719,0.2446999997,93.2799987793,#LinkError
TXN,18.7210006714,0.5479999781,3.1586000919,51.8748016357,17.2689990997,2919,1.9616999626,34621.51171875,3438.1999511719,1.1042000055,30.8899993896,#LinkError
ULTA,40.9420013428,0.2389999926,8.7903003693,0,24.5300006866,45.9000015259,1.2086000443,6214.7490234375,334.5989990234,1.4230999947,98.2600021362,#LinkError
UAL,17.8470001221,0.0759999976,16.1583003998,2547.193359375,43.2060012817,-898,0.4426999986,7772.1430664063,3015,0.7663999796,23.3799991608,#LinkError
VRSK,24.8630008698,1.1770000458,33.2631988525,571.7814941406,323.3399963379,393.8500061035,1.600399971,8501.74609375,712.5050048828,0.1111999974,50.9700012207,#LinkError
VRTX,62.5369987488,6.9559998512,7.597099781,0,12.0719995499,196.7010040283,-2.2855000496,9085.0517578125,194.3789978027,0.3014000058,41.9000015259,#LinkError
PARA,15.343000412,-6.2740001678,2.3671998978,57.9849014282,16.0300006866,1561,1.0908999443,24176.4765625,3348,2.2683000565,38.0499992371,#LinkError
VIAB,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,1.2461999655,52.7400016785,#LinkError
VMED,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,1.6281000376,36.75,#LinkError
VOD,#N/A,#N/A,1.0015000105,#N/A,#N/A,#N/A,2.0253000259,123875.2421875,#N/A,#LinkError,#LinkError,#LinkError
WDC,4.1171998978,3.9909999371,1.2551000118,25.8033008575,33.1279983521,3029,-37.2462997437,10350.6494140625,4085,1.4522000551,42.4900016785,#LinkError
WFM,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,1.03489995,45.5800018311,#LinkError
XLNX,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,1.005499959,35.861000061,#LinkError
VZ,19.2310009003,1.1139999628,1.4437999725,60.7799987793,1.2364000082,15311,1.9573999643,123492.578125,20166.560546875,0.5139999986,43.2700004578,#LinkError
NVDA,14.595000267,0.9940000176,1.6081000566,0,11.8489999771,602.950012207,0.9829000235,7594.7758789063,823.7509765625,1.6004999876,3.0650000572,#LinkError
AMD,14.1180000305,0.6359999776,3.1760001183,379.553894043,-12.3380002975,-471,-0.9078999758,1708.6750488281,273,2.2098999023,2.4000000954,#LinkError
