2012,P/E,Sales Surprise Pct,P/B,D/E,ROE,FCF,PEG,Market cap,EBITDA,beta,Price 2012,Price 2022
TiCKER,,,,,,,,,,,,
ATVI,9.7431001663,-27.4440002441,1.0441999435,0,11.5419998169,1272,0.9179999828,11816.978515625,1878,0.5501999855,10.6199998856,#LinkError
ADBE,20.4780006409,4.611000061,2.7987000942,22.4591007233,14.7170000076,1228.5040283203,3.8828001022,18653.671875,1573.9639892578,1.538400054,37.6800003052,#LinkError
ADP,20.4050006866,0.875,4.3215999603,0.2470999956,21.6210002899,1412.4899902344,2.0100998878,27638.037109375,2370.8000488281,0.689899981,56.9300003052,#LinkError
AKAM,31.7129993439,-0.9470000267,3.0950000286,0,10.3360004425,310.5710144043,1.9768999815,7260.2158203125,547.7490234375,0.8776999712,40.9099998474,#LinkError
AZN,7.1947999001,1.3500000238,2.4616000652,43.0551986694,36.733001709,6475,-2.9356000423,58945.69140625,12677,#LinkError,#LinkError,#LinkError
ASRA,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError
GOOGL,20.8299999237,-8.7100000381,3.2411999702,4.1665000916,16.9440002441,13346,1.1864000559,232440.8125,16518,1.0845999718,17.6844997406,#LinkError
GOOG,#N/A,#N/A,#N/A,4.1665000916,#N/A,13346,#N/A,#N/A,16518,#N/A,#N/A,#LinkError
ALTR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#LinkError
AMZN,929.1480102539,-4.5229997635,13.8712997437,37.6464996338,1.6906000376,395,5.1374998093,113633.8203125,2848,0.9254999757,12.5434999466,#LinkError
AMGN,13.3229999542,1.1829999685,3.470400095,139.1867980957,26.4060001373,5193,1.3466000557,66146,7408.1499023438,0.4009000063,86.1999969482,#LinkError
ADI,19.7460002899,-0.1360000074,3.0181999207,19.7243995667,16.3199996948,682.3701171875,1.5865000486,12571.9873046875,933.8759765625,1.1059999466,42.0600013733,#LinkError
AAPL,12.0670003891,-0.5249999762,3.9233000278,0,36.3180007935,47437,0.5070000291,499613.8125,59255,1.209800005,19.0062007904,#LinkError
AMAT,15.2530002594,2.7479999065,1.9566999674,26.8969993591,11.6499996185,1689,2.2105000019,14156.9990234375,2107,1.2224999666,11.4399995804,#LinkError
ADSK,25.6159992218,-2.2590000629,3.9749000072,5.4512000084,15.9189996719,559.799987793,1.4253000021,8020.9150390625,509.8779907227,2.1354999542,35.3499984741,#LinkError
AVGO,12.1730003357,0.4530000091,3.2039000988,0,29.0300006866,452,0.9527000189,7750.1728515625,821,0.9308999777,31.6509990692,#LinkError
BIDU,21.158000946,8.8819999695,8.344499588,45.3144989014,46.0730018616,1551.0300292969,0.4309000075,35067.40234375,2011.4700927734,#LinkError,#LinkError,#LinkError
BBBY,12.7650003433,-1.2389999628,3.2219998837,0,25.8680000305,941.669921875,0.8065000176,12814.404296875,1782.2490234375,1.0267000198,55.9099998474,#LinkError
BIIB,22.4839992523,2.503000021,4.9730000496,9.8710002899,23.8150005341,1625.3499755859,1.3781000376,34630.703125,2397.1101074219,0.8262000084,146.3699951172,#LinkError
BMC,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,0.5479999781,39.6199989319,#LinkError
BKNG,20.6319999695,0.7630000114,7.9383997917,13.3524999619,47.4259986877,1730.5919189453,0.7849000096,30935.75,2056.5930175781,1.2790999413,620.3900146484,#LinkError
BRCM,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,1.2833000422,33.2099990845,#LinkError
CHRW,22.9060001373,3.7479999065,6.7487001419,16.860200882,33.5429992676,424.25,1.5279999971,10152.5,565.8590087891,0.6737999916,63.2200012207,#LinkError
CTRX,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,0.6309999824,47.0999984741,#LinkError
CELG,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,0.4882999957,39.2350006104,#LinkError
CERN,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,0.8562999964,38.7550010681,#LinkError
CHKP,15.9329996109,-1.1019999981,2.9156999588,0,19.0550003052,841.3460083008,1.1545000076,9756.671875,800.741027832,0.6582000256,47.6399993896,#LinkError
CSCO,11.4910001755,0.6069999933,1.9769999981,30.8761005402,18.0760002136,10497,1.0505000353,104189.96875,13991.0205078125,1.2416000366,19.6490001678,#LinkError
CTXS,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,1.3490999937,65.6200027466,#LinkError
CTSH,21.4769992828,-0.0020000001,4.5687999725,0,23.5100002289,838.1198730469,0.9818000197,22178.875,1518.0759277344,1.1899000406,36.9410018921,#LinkError
CMCSA,19.3579998016,-0.5299999714,1.9802999496,81.2474975586,10.7250003815,9140,1.2754000425,98611.34375,26798,1.087100029,18.6800003052,#LinkError
CEG,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#LinkError
COST,23.9640007019,-0.1940000057,3.3271000385,10.7388000488,14.0600004196,1874,1.6735999584,42693.22265625,3716,0.6937999725,98.7300033569,#LinkError
DELL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#LinkError
XRAY,17.9230003357,0.8709999919,2.4992001057,54.3260993958,15.1169996262,278.6499938965,1.4989000559,5621.8081054688,515.6270141602,1.1634999514,39.6100006104,#LinkError
DTV,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,0.8428000212,50.1599998474,#LinkError
DISCK,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,0.7329999804,29.25,#LinkError
DLTR,17.4829998016,-0.3779999912,6.0706000328,17.1746006012,36.6699981689,391.200012207,0.8381000161,9341.982421875,992.1038818359,0.3030999899,40.5600013733,#LinkError
EBAY,23.9430007935,0.5970000029,3.1628000736,21.6583003998,14.3809995651,2581,1.5676000118,65990.515625,4045.6169433594,1.4709000587,50.9980010986,#LinkError
EQIX,85.2070007324,0.6169999838,4.3340001106,67.0931015015,6.4685997963,-157.1298980713,2.0497000217,10026.474609375,825.132019043,1.475900054,206.1999969482,#LinkError
EXPD,25.1909999847,1.7319999933,4.0664000511,0,16.1040000916,322.5,2.6445000172,8265.2373046875,571.1290283203,0.8549000025,39.5499992371,#LinkError
EXPE,22.1809997559,4.9099998474,3.4679999352,52.2872009277,16.6499996185,1001.4849853516,1.4239000082,8286.2890625,776.5349731445,1.7776999474,61.4399986267,#LinkError
ESRX,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,1.1028000116,54,#LinkError
FFIV,27.3659992218,-0.3210000098,5.5397000313,0,21.7110004425,476.5660095215,1.1653000116,7679.7080078125,479.7179870605,1.4847999811,97.1500015259,#LinkError
FAST,32.8520011902,-0.0109999999,8.8591003418,0,26.4300003052,262.4100036621,1.6004999876,13823.4228515625,727.741027832,0.9348000288,23.3250007629,#LinkError
FISV,15.375,-2.9460000992,3.0869998932,94.5273971558,21.4939994812,640,1.1410000324,10548.3720703125,1527.25,1.0391999483,19.7574996948,#LinkError
FOSL,17.2089996338,1.5889999866,4.5047001839,6.2822999954,28.2950000763,339.2900085449,0.8223999739,5587.955078125,531.2199707031,1.8961000443,93.0999984741,#LinkError
FOXA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#LinkError
GRMN,14.7110004425,-8.0559997559,2.2495999336,0,16.0599994659,647.0599975586,1.7620999813,7945.0268554688,694.6209716797,1.3710999489,40.75,#LinkError
GILD,21.1669998169,6.3759999275,5.8309998512,88.7914962769,32.4440002441,2797.669921875,0.8769999743,55649.38671875,4451.53515625,0.4440000057,36.7249984741,#LinkError
HSIC,18.1529998779,0.2700000107,2.7051999569,19.3477993011,15.6219997406,356.8599853516,1.4248000383,7076.4780273438,726.5640258789,0.7505000234,40.2099990845,#LinkError
INTC,9.5907001495,-0.3379999995,1.9987000227,26.2640991211,22.75,7857,1.0907000303,102337.0625,22303,1.0691000223,20.6200008392,#LinkError
INTU,22.9629993439,1.4650000334,6.3997001648,18.1784992218,29.9179992676,999,1.3608000278,17567.30859375,1423.8709716797,0.7300999761,59.4749984741,#LinkError
ISRG,30.7250003815,4.1119999886,5.4464001656,0,20.2290000916,672.4000244141,1.5568000078,19498.58203125,969,1.5859999657,54.4855995178,#LinkError
KLAC,11.2910003662,6.3029999733,2.3661000729,22.2276992798,21.7490005493,792.1599731445,1.1346999407,7952.8041992188,1058.6489257813,1.7552000284,47.7599983215,#LinkError
LBTYA,87.4440002441,3.8150000572,7.9335999489,1320.0565185547,6.9748997688,1036.0998535156,#N/A,16542.298828125,5504.2797851563,1.5396000147,62.9599990845,#LinkError
LSXMA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#LinkError
LIFE,#N/A,#N/A,#N/A,0.497299999,#N/A,661.7399902344,#N/A,#N/A,#N/A,#LinkError,#LinkError,#LinkError
LLTC,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,1.0815000534,34.2999992371,#LinkError
MAT,14.6479997635,-1.7309999466,4.0970001221,49.2279014587,31.2840003967,1057.5600585938,1.3933000565,12565.5302734375,1294.9949951172,0.9384999871,36.6199989319,#LinkError
MXIM,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,1.1200000048,29.3999996185,#LinkError
META,166.3730010986,3.6480000019,5.3421001434,12.7604999542,3.2441000938,377,2.2374999523,62795.87109375,1490,0.0280000009,26.6200008392,#LinkError
MCHP,20.2420005798,0.65200001,3.2911000252,31.6539993286,16.5960006714,383.7699890137,1.6541999578,6342.1767578125,568.1430053711,1.0859999657,16.2950000763,#LinkError
MU,#N/A,-8.7239999771,0.7881000042,41.9618988037,-12.5520000458,574,-2.8308999538,6451.3310546875,1265,1.2605999708,6.3400001526,#LinkError
MSFT,10.0039997101,-1.2180000544,3.0975000858,19.549200058,32.5690002441,27631,0.8815000057,224801.125,36168.71875,0.9742000103,26.7099990845,#LinkError
MDLZ,12.7270002365,-2.013999939,1.3954000473,59.0788002014,10.0129995346,2446,1.5612000227,45232.62890625,6939.8798828125,0.5781000257,25.452999115,#LinkError
MNST,28.4090003967,-3.1449999809,14.0523004532,0,35.891998291,245.0299987793,1.1345000267,9055.1904296875,571.1810302734,0.3621999919,17.6133003235,#LinkError
VTRS,10.5579996109,-0.3370000124,3.3334999084,193.8518981934,31.1469993591,660.0300292969,1.002300024,11186.6435546875,2099.919921875,0.83950001,27.4500007629,#LinkError
NTAP,21.5060005188,0.375,2.7688999176,27.9269008636,13.6280002594,1072.8999023438,1.4886000156,12189.2177734375,1084.4549560547,1.5784000158,33.5499992371,#LinkError
GEN,12.3819999695,3.2520000935,2.5327999592,59.6585998535,21.3330001831,1336,1.3931000233,13059.236328125,1730.0190429688,0.8808000088,18.8199996948,#LinkError
NUAN,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,1.5181000233,22.3199996948,#LinkError
NVDA,14.595000267,0.9940000176,1.6081000566,0,11.8489999771,602.950012207,0.9829000235,7594.7758789063,823.7509765625,1.6004999876,3.0650000572,#LinkError
NXPI,13.8529996872,1.1699999571,5.078499794,271.9625854492,36.7369995117,473,0.4690999985,6520.83203125,1454,3.5789000988,26.3199996948,#LinkError
ORLY,18.8250007629,0.7379999757,4.8614997864,51.9827003479,23.783000946,953.8798828125,0.9862999916,10249.4990234375,1156.2829589844,0.3838999867,89.4199981689,#LinkError
ORCL,13.4350004196,0.7310000062,3.6988999844,42.6329994202,28.283000946,12823,0.9157999754,160571.078125,19006.232421875,1.1043000221,33.3199996948,#LinkError
PCAR,14.4899997711,1.0240000486,2.7297000885,134.7740020752,19.2150001526,1328.0999755859,1.3869999647,15960.53125,1962.7000732422,1.4558000565,45.2099990845,#LinkError
PAYX,20.1949996948,-0.8370000124,6.6561999321,215.7931976318,34.1619987488,635.4000244141,2.0318000317,11303.4814453125,1020.9000244141,0.8629000187,31.1000003815,#LinkError
PRGO,19.5550003052,-0.1080000028,4.6319999695,65.0960998535,26.0380001068,190.3300018311,1.223099947,9766.4404296875,764.2080078125,0.7318999767,104.0299987793,#LinkError
QCOM,17.5240001678,2.1210000515,2.9816000462,0,18.5370006561,5064,1.0154000521,105410.609375,7567,0.9887999892,61.8600006104,#LinkError
QRTEA,16.3999996185,0,0.8407999873,65.4219970703,8.527299881,1093,1.0552999973,10132.169921875,1831,2.2381000519,19.6800003052,#LinkError
GOLD,9.140999794,3.5899999142,1.4220000505,56.5960006714,14.4569997787,-912,3.1589000225,35033.10546875,5592,0.3882000148,35.0099983215,#LinkError
REGN,43.9770011902,5.506000042,13.2637996674,0,55.3699989319,-123.9400024414,1.0478999615,16518.51953125,180.43699646,1.0669000149,171.0700073242,#LinkError
ROST,16.3409996033,0.0780000016,7.1343998909,8.8353004456,45.9119987488,612.4199829102,1.1499999762,12112.265625,1382.1989746094,0.6945999861,27.0450000763,#LinkError
SNDK,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,1.8013000488,43.5,#LinkError
SBAC,#N/A,1.6679999828,13.7416000366,820.2412719727,-15.1599998474,327.6499938965,-10.3819999695,8973.150390625,682.6790161133,0.8619999886,70.9800033569,#LinkError
STX,3.8603999615,1.9650000334,3.9258999825,96.3419036865,98.8040008545,3681,0.2872999907,11483.3681640625,4451,2.4019999504,30.4200000763,#LinkError
SGEN,#N/A,13.6289997101,12.2020998001,0,-24.2430000305,1,#N/A,2759.3850097656,-48.5239982605,1.0197999477,23.1700000763,#LinkError
SHLDQ,#N/A,#N/A,1.1287000179,102.6404037476,-6.3917999268,-111,-1.3173999786,4402.9790039063,2454.3010253906,1.9217000008,41.3600006104,#LinkError
SIAL,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,0.9047999978,73.5800018311,#LinkError
